title,link,content
Walmart breaks record with Q2 online grocery share,https://chainstoreage.com/walmart-breaks-record-q2-online-grocery-share,"facebooktwitterlinkedInemail
Walmart Inc. is more dominant in the U.S. online grocery market than ever.
According to the ""U.S. eGrocery Market Share Report Q2 2024,"" based on data from the monthly Brick Meets Click/Mercatus grocery shopping survey, Walmart (excluding Sam’s Club) captured 37% of the U.S. online grocery market in the second quarter of 2024, climbing 1.5 percentage points from the same quarter in 2023 to mark its highest share level to date.
In contrast, supermarkets lost 2.5 percentage points during the recent quarter compared to a year ago to finish the second quarter of 2024 with 27.3%. Walmart’s sales share (excluding Sam’s Club) began gaining on supermarkets in early 2022 after the expiration of the expanded child tax credit at the end of 2021 and as overall and food at home inflation was growing faster than wages.
According to Brick Meets Click/Mercatus analysis, this led to dramatic drops in the personal savings rate and rapid growth of outstanding credit card balances while interest rates continued rising.
[READ MORE: Numerator: Walmart captured 21.4% of grocery dollar share during past 12 months]
Meanwhile, Brick Meets Click/Mercatus data indicates Target has made more moderate sales share gains over the last several years, gaining 1.2 percentage points of share from the second quarter of 2021 and finishing the second quarter of 2024 with 7% of online grocery sales.
Brick Meets Click/Mercatus analysis suggests that strong execution in filling pickup orders and a price gap halfway between supermarkets and Walmart likely helped Target’s online grocery performance.
Analysis of mass/supermarket Q2 performance
Overall, the study shows that the mass format captured nearly half of all delivery sales in the second quarter of 2024, driven by Walmart’s nearly eight-percentage point jump in delivery share from the same quarter in 2023.
During the same period, supermarkets went from leading mass in delivery sales share by about one point to trailing by nearly 10 points, although recent promotional pushes by Instacart helped to boost supermarket sales share between the first and second quarters of 2024.
During the same period, supermarkets went from leading mass in delivery sales share by about one point to trailing by nearly 10 points, although recent promotional pushes by Instacart helped to boost supermarket sales share between the first and second quarters of 2024.
In pickup, supermarkets ended the quarter with approximately 28% of the segment’s sales compared to mass, which claimed almost 58%. Mass lost one percentage point of pickup sales share year-over-year, while supermarkets lost more than double (2.1 percentage points). Pickup continues to remain the dominant receiving method for online grocery sales in the U.S. with a 45.5% share, down 1.1 percentage points year-over-year.
The share of supermarket customers who also shopped with mass during the quarter rose 3.7 percentage points, reaching more than 32% with roughly one in five doing so with Walmart. This gain was fueled by increased dual usage within the middle two income groups ($50,000 to $99,000 annual household income and $100,000 - $199,000) while both the lowest ( less than $50,000) and highest-income ($200,000-plus) groups decreased cross-shopping year-over-year.
""Walmart’s reputation for low prices helped to attract households that wanted both the convenience of shopping online and ways to save money in this market,"" said David Bishop, partner at Brick Meets Click. ""The execution of its omnichannel strategy, plus the operational efficiencies aided by incredibly high order demand, has enabled Walmart to consistently deliver the type of experiences that customers expect and to lower its cost to serve online orders at the same time.""
The analysis leverages data from the monthly Brick Meets Click/Mercatus grocery shopping survey, an independent research initiative conducted by Brick Meets Click since March 2020, and sponsored by Mercatus.
Online grocery sales rise in June fueled by delivery and ship-to-home   June was a strong month for online grocery sales in the United States, with sales increasing 8% year-over-year.           Online grocery sales projected to reach almost $120 billion by 2028   A new forecast shows online grocery sales are on pace to grow three-times faster than in-store sales over the next five years.
"
Walmart Inc. is more dominant in the U.S. online grocery market than ever.,https://chainstoreage.com/walmart-breaks-record-q2-online-grocery-share,"facebooktwitterlinkedInemail
Walmart Inc. is more dominant in the U.S. online grocery market than ever.
According to the ""U.S. eGrocery Market Share Report Q2 2024,"" based on data from the monthly Brick Meets Click/Mercatus grocery shopping survey, Walmart (excluding Sam’s Club) captured 37% of the U.S. online grocery market in the second quarter of 2024, climbing 1.5 percentage points from the same quarter in 2023 to mark its highest share level to date.
In contrast, supermarkets lost 2.5 percentage points during the recent quarter compared to a year ago to finish the second quarter of 2024 with 27.3%. Walmart’s sales share (excluding Sam’s Club) began gaining on supermarkets in early 2022 after the expiration of the expanded child tax credit at the end of 2021 and as overall and food at home inflation was growing faster than wages.
According to Brick Meets Click/Mercatus analysis, this led to dramatic drops in the personal savings rate and rapid growth of outstanding credit card balances while interest rates continued rising.
[READ MORE: Numerator: Walmart captured 21.4% of grocery dollar share during past 12 months]
Meanwhile, Brick Meets Click/Mercatus data indicates Target has made more moderate sales share gains over the last several years, gaining 1.2 percentage points of share from the second quarter of 2021 and finishing the second quarter of 2024 with 7% of online grocery sales.
Brick Meets Click/Mercatus analysis suggests that strong execution in filling pickup orders and a price gap halfway between supermarkets and Walmart likely helped Target’s online grocery performance.
Analysis of mass/supermarket Q2 performance
Overall, the study shows that the mass format captured nearly half of all delivery sales in the second quarter of 2024, driven by Walmart’s nearly eight-percentage point jump in delivery share from the same quarter in 2023.
During the same period, supermarkets went from leading mass in delivery sales share by about one point to trailing by nearly 10 points, although recent promotional pushes by Instacart helped to boost supermarket sales share between the first and second quarters of 2024.
During the same period, supermarkets went from leading mass in delivery sales share by about one point to trailing by nearly 10 points, although recent promotional pushes by Instacart helped to boost supermarket sales share between the first and second quarters of 2024.
In pickup, supermarkets ended the quarter with approximately 28% of the segment’s sales compared to mass, which claimed almost 58%. Mass lost one percentage point of pickup sales share year-over-year, while supermarkets lost more than double (2.1 percentage points). Pickup continues to remain the dominant receiving method for online grocery sales in the U.S. with a 45.5% share, down 1.1 percentage points year-over-year.
The share of supermarket customers who also shopped with mass during the quarter rose 3.7 percentage points, reaching more than 32% with roughly one in five doing so with Walmart. This gain was fueled by increased dual usage within the middle two income groups ($50,000 to $99,000 annual household income and $100,000 - $199,000) while both the lowest ( less than $50,000) and highest-income ($200,000-plus) groups decreased cross-shopping year-over-year.
""Walmart’s reputation for low prices helped to attract households that wanted both the convenience of shopping online and ways to save money in this market,"" said David Bishop, partner at Brick Meets Click. ""The execution of its omnichannel strategy, plus the operational efficiencies aided by incredibly high order demand, has enabled Walmart to consistently deliver the type of experiences that customers expect and to lower its cost to serve online orders at the same time.""
The analysis leverages data from the monthly Brick Meets Click/Mercatus grocery shopping survey, an independent research initiative conducted by Brick Meets Click since March 2020, and sponsored by Mercatus.
Online grocery sales rise in June fueled by delivery and ship-to-home   June was a strong month for online grocery sales in the United States, with sales increasing 8% year-over-year.           Online grocery sales projected to reach almost $120 billion by 2028   A new forecast shows online grocery sales are on pace to grow three-times faster than in-store sales over the next five years.
"
Big Lots closing about 300 stores; California takes big hit,https://chainstoreage.com/big-lots-closing-about-300-stores-california-takes-big-hit,"facebooktwitterlinkedInemail
Big Lots is downsizing.
In a new filing with the Securities and Exchange Commission, the Ohio-based discounter  revealed it may shutter up to 315 stores under amended credit and loan terms.  In a June SEC filing, Big Lots, which has about 1,390 stores nationwide, said it was planning to  close between 35 to 40 stores in 2024. In the same filing, the company also warned of its ability to survive as a ""going concern.”
Since the June filing, Big Lots has updated the store location section on its  website, which now shows nearly 300 stores earmarked for closure (as of Aug. 2). California ranks as the state with the most shutterings, with 75 of its 109 stores going dark. By contrast, no closings are cited in Texas, where the company operates 116 stores, the most of any state.
Under the revised financial terms in the new filing, Big Lots and its lenders agreed to reduce the retailer’s available credit to $800 million from $900 million. The interest rate on borrowing rose 50 basis points and Big Lots must also report more frequently to its lenders.
Big Lots has been working to shore up its liquidity during the past few months. Sales tumbled 10.2% to $1 billion in its first quarter, which ended May 4, with a 9.9% decrease in comparable sales. The retailer cited a continued pullback in consumer spending by its core customers.
“While we made substantial progress on improving our business operations in Q1, we missed our sales goals due largely to a continued pullback consumer spending by our core customers, particularly in high ticket discretionary items,"" CEO Bruce Thorn said in the earnings release.
In its June filing, Big Lots noted it had net losses and used cash in operating activities in 2022, 2023 as well as the first quarter of 2024. While it currently is in compliance with its credit agreements, the retailer said that it ""expects to experience further operating losses and expects to experience difficulty remaining in compliance with such covenants.""
Store closing sales start across Conn’s 550-plus stores   Conn’s has started to wind down operations.           Stop & Shop is shuttering these underperforming stores   A regional Northeast grocer is reducing store count as part of a larger growth strategy its parent company is pursuing.
"
Big Lots is shrinking its brick-and-mortar footprint.,https://chainstoreage.com/big-lots-closing-about-300-stores-california-takes-big-hit,"facebooktwitterlinkedInemail
Big Lots is downsizing.
In a new filing with the Securities and Exchange Commission, the Ohio-based discounter  revealed it may shutter up to 315 stores under amended credit and loan terms.  In a June SEC filing, Big Lots, which has about 1,390 stores nationwide, said it was planning to  close between 35 to 40 stores in 2024. In the same filing, the company also warned of its ability to survive as a ""going concern.”
Since the June filing, Big Lots has updated the store location section on its  website, which now shows nearly 300 stores earmarked for closure (as of Aug. 2). California ranks as the state with the most shutterings, with 75 of its 109 stores going dark. By contrast, no closings are cited in Texas, where the company operates 116 stores, the most of any state.
Under the revised financial terms in the new filing, Big Lots and its lenders agreed to reduce the retailer’s available credit to $800 million from $900 million. The interest rate on borrowing rose 50 basis points and Big Lots must also report more frequently to its lenders.
Big Lots has been working to shore up its liquidity during the past few months. Sales tumbled 10.2% to $1 billion in its first quarter, which ended May 4, with a 9.9% decrease in comparable sales. The retailer cited a continued pullback in consumer spending by its core customers.
“While we made substantial progress on improving our business operations in Q1, we missed our sales goals due largely to a continued pullback consumer spending by our core customers, particularly in high ticket discretionary items,"" CEO Bruce Thorn said in the earnings release.
In its June filing, Big Lots noted it had net losses and used cash in operating activities in 2022, 2023 as well as the first quarter of 2024. While it currently is in compliance with its credit agreements, the retailer said that it ""expects to experience further operating losses and expects to experience difficulty remaining in compliance with such covenants.""
Store closing sales start across Conn’s 550-plus stores   Conn’s has started to wind down operations.           Stop & Shop is shuttering these underperforming stores   A regional Northeast grocer is reducing store count as part of a larger growth strategy its parent company is pursuing.
"
Dollar General launches omnichannel back-to-school promotion,https://chainstoreage.com/dollar-general-launches-omnichannel-back-school-promotion,"facebooktwitterlinkedInemail
Dollar General is offering a variety of ways to save money on back-to-school items, across channels.
The discount retailer, which was included as a top back-to-school retailer in a recent JLL parent survey, says it will serve as a “one-stop-shop” for school essentials with special deals and savings on an “expansive selection” of back-to-school items. Specific offerings of the promotion include:
Through Friday, Sep. 6, 2024, Dollar General is offering a 30% discount on school supplies for verified teachers. Teachers can register and complete the registration process on the retailer’s Teacher’s Central portal.A single redemption coupon offering of $2 off any qualifying school supplies purchase of $10 or more during select dates in August.Other special back-to-school offers are available through DG digital coupons online and in the retailer’s consumer app, where customers may load coupons and rewards and redeem them at checkout.Beyond weekly savings ads, customers can utilize in-store scanning through the consumer app to gain access to pricing information and surface available coupons and deals.
Highlights of back-to-school discounts include:
$1 and less school supplies such as notebooks, pencils, glue sticks and folders, as well as coloring packs for $3 and under.  Value-priced backpacks for $5 eachTrending back-to-school products like decorative “first day of school” signs, clog sandals, and charms.National brands such as Crayola, Bic and Elmer’s, as well as exclusive Dollar General private labels like iMagine and Office Hub, with a 100% satisfaction guarantee.
Highlights of back-to-school discounts include:
$1 and less school supplies such as notebooks, pencils, glue sticks and folders, as well as coloring packs for $3 and under.  Value-priced backpacks for $5 eachTrending back-to-school products like decorative “first day of school” signs, clog sandals, and charms.National brands such as Crayola, Bic and Elmer’s, as well as exclusive Dollar General private labels like iMagine and Office Hub, with a 100% satisfaction guarantee.
""Back-to-school shopping can be stressful for many consumers, especially in this challenging economy,"" said Shareeka Meadows, VP, division merchandise manager, stationery and apparel at Dollar General. ""More than ever, our customers are looking for affordability to help them stay within budget, and convenience to save them time. We are pleased to offer great everyday values, including more than 100 school supply products priced at $1 or less, plus DG digital coupons.""
[READ MORE: Dollar General partners to enhance retail media capabilities]
As of May 3, 2024, Goodlettsville, Tenn.-based operated 20,149 Dollar General, DG Market, DGX and PopShelf stores across the United States and Mi Súper Dollar General stores in Mexico.
Dollar General adds to C-suite; promotes six others to new roles   Dollar General has announced several new leadership promotions, highlighted by a retail veteran joining the team as chief marketing officer.           Dollar General to offer self-checkout in ‘limited’ number of stores   Dollar General is eliminating the self-checkout option in the majority of its stores.
"
Family Dollar optimizes assortment with predictive analytics,https://chainstoreage.com/family-dollar-optimizes-assortment-predictive-analytics,"facebooktwitterlinkedInemail
Family Dollar is refining its merchandise assortment strategy.
The discount retailer is leveraging predictive analytics technology and actionable data from First Insight in an effort to ensuring that it offers merchandise aligned with the most current consumer expectations and shifts in the market.
Family Dollar hopes the solution will enable it to successfully launch new products, as well as reduce markdowns and stock shortages while curbing the influx of underperforming products. The retailer seeks to support its strategy of driving sales across all categories with value pricing.
The retailer is revamping its merchandising capabilities as it is also enhancing its mobile shopping experience. Family Dollar has been updating the user interface and navigation of its mobile app since fall 2023 with new and improved features including a redesigned mobile wallet that helps shoppers manage coupons, intelligent product search capability, in-app e-commerce, personalization capabilities, and a modernized rewards experience.
[READ MORE: Family Dollar revamps consumer app]
""Listening to our customer and inspiring her with everyday essentials and must-have items of the season is at the core of everything we do,"" said Bonita Price, senior VP of merchandising at Family Dollar. ""First Insight’s platform gives us fast, actionable insights into our customers' preferences, which has already provided significant value. We are excited to see this partnership grow.""
""Our partnership with Family Dollar is a prime example of how AI and customer insights can transform retail decision-making,"" said Greg Petro, CEO of First Insight. ""By integrating our cutting-edge predictive analytics, products on Family Dollar’s shelves are not just in demand but customer-approved. Our analytics enable Family Dollar to anticipate demand more accurately, make smarter product choices, and ultimately, heighten customer satisfaction while driving sales.""
Family Dollar parent company Dollar Tree, a Fortune 200 company, operated 16,622 stores across 48 states and five Canadian provinces as of October 28, 2023. Stores operate under the brands of Dollar Tree, Family Dollar and Dollar Tree Canada.
Family Dollar in digital coupon partnership with Ibotta   Family Dollar will deliver its mobile ""Smart Coupons"" via the Ibotta Performance Network.            Dollar Tree exploring sale of Family Dollar    Family Dollar may soon find itself on the selling block.
"
Target lauches back-to-school personalization initiative — in-store and online,https://chainstoreage.com/target-lauches-back-school-personalization-initiative-store-and-online,"facebooktwitterlinkedInemail
Target Corp. is giving returning students the chance to customize their school gear — in-store and online.
Through Sunday, Sept. 8, the discount giant has set up “personalization stations” in most stores and on its e-commerce site. Customers can select the items they want to personalize, such as backpacks, lunchboxes and water bottles, and then browse as assortment of pins, patches and other customization options, priced from $2 and up for each.
In addition, on Saturday, Aug. 3, Target is hosting a special event in its stores nationwide featuring a “build your own” station where students can personalize their items in-store with pins and patches and will also receive free decals.
College Students
The retailer is also offering personalization and other promotions specifically aimed at back-to-college shoppers.  On Friday, Sep. 6 (the Friday before many colleges’ big football games), Target will host personalization events in some of the biggest college football towns, including the locations of major campuses in Alabama, Michigan and Florida.
At these events, customers will be able to design their own game-day outfits, play interactive games, consume tailgate snacks and purchase exclusive themed items from the Target up&up private label assortment. Target will also host college-themed events in nearly 100 stores close to college campuses with features such as university fight songs and photo booths.
[READ MORE: Target relaunches, expands one of its most popular owned brands]
The retailer is also teaming up with Pinterest on Target.com to provide college-inspired content, featuring dorm room essentials as well as back-to-college apparel and accessories.
""At Target, we’re passionate about creating memorable experiences for students and their families as they celebrate big milestones and everyday moments,"" said Cara Sylvester, executive VP and chief guest experience officer. ""We know creativity and originality are important to our guests, especially when it comes to back-to-school shopping. That’s why we’re introducing Personalization Stations — to give students of all ages the freedom to showcase their personality and design unique items that reflect their style, all while delivering unbeatable value.""
Target kicked off its back-to-school and back-to-college sales campaign in early July with price reductions on thousands of items and special offers for teachers and members of its Target Circle loyalty program.
Minneapolis-based Target Corporation operates nearly 2,000 stores and the Target.com e-commerce site.
Target to hold its first-ever denim ‘take back’ event   Target Corp. is giving consumers to chance to give their old items a new life and keep used denim out of landfills.           Target counters Prime Day with weeklong sales event   Target Circle Week returns in July.
"
"Walmart creates metaverse shop for college students, influencers",https://chainstoreage.com/walmart-creates-metaverse-shop-college-students-influencers,"facebooktwitterlinkedInemail
Walmart is expanding its ""Walmart Realm"" immersive shopping environment for back-to-college season.
The discount giant, which launched Walmart Realm, a 3-D virtual shopping environment curated by digital influencers and built upon the Emperia metaverse platform in partnership with Sawhorse Productions, in May 2024, is introducing ""Your Dorm Your Way,"" the second phase of the initiative.
Accessible on a dedicated website, Walmart Realm offers a selection of three 3-D animated shops, each with its own theme and with an assortment created by a different influencer or team of influencers.
Each shop offers a rotating 180-degree view and items customers can click on to obtain detailed views and add to their shopping cart. In a gamification element, visitors can also click on “sparks” (representations of the Walmart symbol) and collect them to win prizes. In an email to Chain Store Age, Emperia said that college students can now explore and shop five brand-new virtual, immersive dorm rooms inspired by social trends and curated by popular digital college creators including Trinity Aniyahh, Study Moofin, The Bee Kid, and Jellybean Celine. Virtual Your Dorm Your Way shopping environments include:
Sanrio – a “fantastical cotton candy and rainbow escape.”Serene Retreat – a “cozy and comfortable soft living oasis.”Royal –“smart and eclectic with a preppy twist.”Y2K – featuring trends and products from the early 2000sLoFi –a gamer-themed environment inspired by neon lights and arcades.
Each dorm also includes a mini game, such as “Byte-sized Crush” in Y2K, as well as surprise features such as transporting inside a doll house in Royal, native social content from Walmart’s creators, and more.
[READ MORE: Walmart expands metaverse, influencer efforts with Walmart Realm]
""Walmart Realm, powered by Emperia, continues to embrace the limitless possibilities of virtual technologies, allowing us to create stunning immersive commerce experiences to inspire our customers and shorten the distance between inspiration & commerce as they shop online,"" Justin Breton, director of brand experiences & strategic partnerships, Walmart, said in the email.
Walmart pursues influencer, virtual commerce
Walmart has been actively expanding the channels it uses to conduct commerce. In late 2022, it rolled out a program called Walmart Creator, designed to make it easy for social media influencers and content creators to monetize shoppable products from the retailer.
Creators who sign up have access to tens of thousands of products and can earn commissions on sales they refer. The discounter has also engaged in a number of livestream sales programs with influencers across several social media and live commerce platforms.
In the area of virtual commerce, Walmart recently stepped up its metaverse commerce efforts with a groundbreaking initiative on the popular Roblox immersive gaming platform.
The retailer, which debuted in the metaverse by launching two new metaverse experiences on Roblox in September 2022 and announced in September 2023 that it would deepen its commercial activity in ""virtual worlds,"" became the first entity to sell select physical items on Roblox.
Walmart’s IRL commerce shop in the experience enables Roblox users to check out the real world items chosen by its partner user generated content (UGC) creators, MD17, Junozy & Sarabxlla.
The company has also tested immersive commerce in a variety of online worlds, including the Supercampus gamified Roblox environment. And in January 2024, Walmart began providing developers in the Unity real-time 3D development environment the ability to integrate its commerce application programming interfaces (APIs) directly into their games and apps.
This will enable Unity creators to sell physical items in real-time 3D experiences across more than 20 metaverse platforms.
Headquartered in Bentonville, Ark., Walmart Inc. operates approximately 10,500 stores and numerous e-commerce websites in 19 countries.
"
Walmart targets food waste with in-store 'depackaging' solution,https://chainstoreage.com/walmart-targets-food-waste-store-depackaging-solution,"facebooktwitterlinkedInemail
Walmart Inc. is rolling out technology to help store associates increase the sustainability of the retailer’s food waste stream.
The discount giant is implementing new technology from organics recycler Denali, as well as simplified processes, to aid associates in more efficiently ""depackaging"" food waste. Called Zero Depack, the new program removes expired food intended for the waste stream from its packaging.
At each Walmart and Sam’s Club store location equipped with Zero Depack, associates toss expired food items in a receptacle, and Denali technology separates the food from its packaging material with as much as 97% accuracy. This helps associates spend less time supporting the recycling process and more time focusing on customer-facing activities.
In addition, Walmart says making the separation of expired or unsalable food from its packaging easier creates cleaner waste streams and potential sustainability opportunities.
When food waste is picked up from participating Walmart or Sam’s Club stores by Denali, one possible outcome is the conversion of unsalable items into biosolids for multiple farming applications, such as compost or food for livestock. The precise output depends on the nature of the original material.
[READ MORE: Walmart reportedly reducing in-store waste with AI]
""Every Walmart facility has a part to play in operating more sustainably by making meaningful choices that increase efficiencies, reduce costs and improve the experiences for our associates and customers,"" R.J. Zanes, VP, facility services, Walmart U.S., said in a corporate blog post.
""For our customers, sustainability comes to life through the services and products we offer, while our associates experience it through our improved ways of working,"" Zanes said in the blog post. ""As an operator for almost 25 years, I've seen how integrating more sustainable practices across our operations can drive this and help infuse a sense of pride among our associates.""
Walmart fights waste
In 2017, Walmart introduced Project Gigaton, an initiative to avoid one gigaton (one billion metric tons) of carbon dioxide from its global value chain by 2030. Since that time, the discount giant has launched numerous efforts to promote sustainability across its enterprise and among its partners and customers.
Based in Bentonville, Ark., Walmart operates more than 10,500 stores and numerous e-commerce websites in 19 countries.
Starbucks invests in solar for 170 Illinois stores   Starbucks has entered into a new solar power partnership to help power its stores in one of America’s largest states.           Amazon invests in renewable energy for Mississippi data centers   Amazon is building solar and wind farms across Mississippi.
"
Ollie's to launch its first-ever credit card — with no late fees,https://chainstoreage.com/ollies-launch-its-first-ever-credit-card-no-late-fees,"facebooktwitterlinkedInemail
The country's largest closeout retailer is launching its own co-branded credit card.
Ollie’s Bargain Outlet Holdings, Inc. has partnered with financial technology company Sunbit to launch a co-branded Visa credit card. Cardholders will be able to earn points for purchases at Ollie’s and everywhere else Visa is accepted and receive access to exclusive offers and events.
Ollie’s said it chose Sunbit’s credit card platform for several reasons, including its ""customer-centric"" approach: Customers are never charged fees, and the card features industry-high approval rates — making it the perfect match for Ollie’s customer needs, the retailer said.
In addition, Ollie's noted that Sunbit plans to bring the credit card program to market within months, much faster than industry standards, with no technology integration required from the retailer.
“We are excited to launch our first-ever credit card to our customers,"" said Eric van der Valk, president of Ollie’s. ""Our card makes it easier for customers to shop with us, earn even more rewards, and receive exclusive benefits. This program builds on our industry leading Ollie’s Army loyalty program, offering greater flexibility to our customers and enhancing loyalty with our members.”
$10 statement credit for signing up for the card;Automatic enrollment into Ollie’s Army Loyalty program for non-members;One additional Ollie’s Army point for every $2 spent at Ollie’s; andOne Ollie’s Army point for every $2 spent everywhere else Visa is accepted.
“Sunbit is committed to building products that make access to credit more equitable, transparent, and customer-focused, and we partnered with Ollie’s because of their true commitment to their customers,” said Arad Levertov, CEO of Sunbit. “Ollie’s customers will benefit from access to a co-branded card that is a magnitude better than anything like it, enhancing the shopping experience and fostering brand loyalty.”
[READ MORE: Ollie's acquires 11 former 99 Cents Only locations]
Ollie’s currently operates 522 stores in 31 states. The retailer sells closeout merchandise and excess inventory in a variety of departments, including housewares, food, books and stationery, bed and bath, floor coverings, toys, health and beauty aids, and more.
Placer.ai names top brands for 2024   The retail data firm details the restaurants chains, apparel retailers and more in for a big year in 2024.           Ollie’s Bargain Outlet to support growth with new distribution center   Ollie's Bargain Outlet Holdings Inc. has big plans for expansion in the Midwest.
"
